Product,Category,Price,Stock,Sales_Q1,Sales_Q2,Sales_Q3,Sales_Q4
Laptop Pro,Electronics,1299.99,45,120,135,150,140
Office Chair,Furniture,299.99,78,85,90,75,80
Coffee Maker,Appliances,129.99,156,200,180,220,195
Smartphone,Electronics,799.99,92,300,280,320,310
Desk Lamp,Furniture,49.99,234,150,145,160,155
Tablet,Electronics,499.99,67,180,165,190,175
Bookshelf,Furniture,199.99,43,60,55,65,58
Blender,Appliances,89.99,189,110,120,105,115
Wireless Mouse,Electronics,29.99,312,250,245,260,255
Standing Desk,Furniture,599.99,28,40,35,45,38
